Date,Open,High,Low,Adj Close,Close,Volume
2019-06-26,215.0,219.9,214.5,215.15,219.35,2806007
2019-06-25,214.35,216.0,211.3,215.0,215.15,2274581
2019-06-24,213.1,216.9,212.5,212.85,215.0,2639044
2019-06-21,213.7,215.2,211.9,213.7,212.85,4181731
2019-06-20,207.2,214.3,204.8,206.45,213.7,1857056
2019-06-19,211.25,212.45,205.3,210.0,206.45,3145947
2019-06-18,205.7,210.9,205.7,205.6,210.0,1935444
2019-06-17,215.4,215.4,204.8,214.2,205.6,3979462
2019-06-14,220.0,220.8,213.25,220.45,214.2,1998514
2019-06-13,220.95,222.0,216.15,220.55,220.45,1941299
